route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
4,7,179,"NEW YORK PENN STATION",0,"6278",179
4,7,180,"NEW YORK PENN STATION",0,"6280",180
4,7,181,"NEW YORK PENN STATION",0,"6202",181
4,7,182,"NEW YORK PENN STATION",0,"6204",182
4,7,183,"NEW YORK PENN STATION",0,"6222",183
4,7,184,"NEW YORK PENN STATION",0,"6226",184
4,7,185,"NEW YORK PENN STATION",0,"6230",185
4,7,186,"NEW YORK PENN STATION",0,"6234",186
4,7,187,"NEW YORK PENN STATION",0,"6238",187
4,7,188,"NEW YORK PENN STATION",0,"6242",188
4,7,189,"NEW YORK PENN STATION",0,"6248",189
4,7,190,"NEW YORK PENN STATION",0,"6258",190
4,7,191,"NEW YORK PENN STATION",0,"6264",191
4,7,192,"NEW YORK PENN STATION",0,"6274",192
4,7,193,"NEW YORK PENN STATION",0,"6216",193
4,7,194,"NEW YORK PENN STATION",0,"6270",194
4,7,195,"NEW YORK PENN STATION",0,"6200",195
4,8,196,"HOBOKEN",0,"9540",196
4,8,197,"HOBOKEN",0,"9544",197
4,8,198,"NEW YORK PENN STATION",0,"9298",198
4,8,199,"NEW YORK PENN STATION",0,"9290",199
4,8,200,"NEW YORK PENN STATION",0,"9292",200
4,8,201,"NEW YORK PENN STATION",0,"9208",201
4,8,202,"NEW YORK PENN STATION",0,"9212",202
4,8,203,"NEW YORK PENN STATION",0,"9216",203
4,8,204,"NEW YORK PENN STATION",0,"9228",204
4,8,205,"NEW YORK PENN STATION",0,"9230",205
4,8,206,"NEW YORK PENN STATION",0,"9232",206
4,8,207,"NEW YORK PENN STATION",0,"9236",207
4,8,208,"NEW YORK PENN STATION",0,"9204",208
4,10,209,"HOBOKEN",0,"0544",209
4,10,210,"HOBOKEN",0,"0530",210
4,11,211,"HOBOKEN",0,"0514",211
4,11,212,"HOBOKEN",0,"0518",212
4,11,213,"HOBOKEN",0,"0522",213
4,11,214,"HOBOKEN",0,"0526",214
4,11,215,"HOBOKEN",0,"0534",215
4,8,216,"HOBOKEN",0,"9530",216
4,10,217,"HOBOKEN",0,"0538",217
4,11,218,"HOBOKEN",0,"0510",218
4,7,219,"MSU",1,"6201",219
4,6,220,"MSU",1,"9225",220
4,6,221,"MSU",1,"9227",221
4,6,222,"MSU",1,"9229",222
4,3,223,"BAY STREET",1,"0509",223
4,1,224,"BAY STREET",1,"0513",224
4,1,225,"BAY STREET",1,"0515",225
4,1,226,"BAY STREET",1,"0519",226
4,1,227,"BAY STREET",1,"0523",227
4,1,228,"BAY STREET",1,"0527",228
4,1,229,"BAY STREET",1,"0531",229
4,1,230,"BAY STREET",1,"0535",230
4,1,231,"BAY STREET",1,"0539",231
4,1,232,"BAY STREET",1,"0545",232
4,7,233,"MSU",1,"6263",233
4,7,234,"MSU",1,"6279",234
4,7,235,"MSU",1,"6213",235
4,7,236,"MSU",1,"0267",236
4,7,237,"MSU",1,"0275",237
4,7,238,"MSU",1,"6273",238
4,7,239,"MSU",1,"6215",239
4,7,240,"MSU",1,"6227",240
4,7,241,"MSU",1,"6297",241
4,7,242,"MSU",1,"6299",242
4,7,243,"MSU",1,"6219",243
4,7,244,"MSU",1,"6233",244
4,7,245,"MSU",1,"6237",245
4,7,246,"MSU",1,"6241",246
4,7,247,"MSU",1,"6245",247
4,7,248,"MSU",1,"6251",248
4,7,249,"MSU",1,"6253",249
4,7,250,"MSU",1,"6283",250
4,7,251,"MSU",1,"6291",251
4,7,252,"MSU",1,"6293",252
4,7,253,"MSU",1,"6295",253
4,7,254,"MSU",1,"6231",254
4,7,255,"MSU",1,"6209",255
4,7,256,"MSU",1,"0211",256
4,8,257,"MSU",1,"9509",257
4,8,258,"MSU",1,"9539",258
4,8,259,"MSU",1,"9545",259
